system,target_length,actual_message_count,rep,latency_s
ec2,10,12,0,0.3058
ec2,10,14,1,0.3532
ec2,10,16,2,0.5134
ec2,10,18,3,0.4086
ec2,10,20,4,0.5139
ec2,50,52,0,0.5165
ec2,50,54,1,0.6118
ec2,50,56,2,0.5277
ec2,50,58,3,1.5476
ec2,50,60,4,0.5608
ec2,100,102,0,0.7236
ec2,100,104,1,0.7498
ec2,100,106,2,0.728
ec2,100,108,3,0.8547
ec2,100,110,4,0.9619
ec2,140,142,0,1.2337
ec2,140,144,1,1.2568
ec2,140,146,2,3.3171
ec2,140,148,3,1.475
ec2,140,150,4,1.3238
