system,request_index,latency_s,message_count,response_chars,error
lambda,0,0.5166,2,209,
lambda,1,0.6674,4,265,
lambda,2,0.3658,6,301,
lambda,3,0.4585,8,404,
lambda,4,0.5398,10,380,
lambda,5,0.4484,12,393,
lambda,6,0.4265,14,389,
lambda,7,0.4213,16,359,
lambda,8,0.4246,18,397,
lambda,9,0.3995,20,373,
