system,mode,request_index,latency_s,error
ec2,warm,0,0.2427,
ec2,warm,1,0.3165,
ec2,warm,2,0.3661,
ec2,warm,3,0.3141,
ec2,warm,4,0.3256,
ec2,warm,5,0.334,
ec2,warm,6,0.3171,
ec2,warm,7,0.3384,
ec2,warm,8,0.3448,
ec2,warm,9,0.4287,
ec2,warm,10,0.3862,
ec2,warm,11,0.36,
ec2,warm,12,0.3438,
ec2,warm,13,0.3477,
ec2,warm,14,0.3654,
ec2,warm,15,0.3986,
ec2,warm,16,0.363,
ec2,warm,17,0.3538,
ec2,warm,18,0.4078,
ec2,warm,19,0.4307,
