system,target_length,actual_message_count,rep,latency_s
lambda,10,12,0,0.6071
lambda,10,14,1,0.3965
lambda,10,16,2,0.6148
lambda,10,18,3,0.514
lambda,10,20,4,0.4206
lambda,50,52,0,0.4068
lambda,50,54,1,0.5164
lambda,50,56,2,0.8055
lambda,50,58,3,0.601
lambda,50,60,4,0.5599
lambda,100,102,0,1.1427
lambda,100,104,1,0.9186
lambda,100,106,2,0.9512
lambda,100,108,3,1.0007
lambda,100,110,4,1.059
lambda,140,142,0,1.4335
lambda,140,144,1,1.5261
lambda,140,146,2,1.5879
lambda,140,148,3,1.6206
lambda,140,150,4,1.6304
