system,mode,request_index,latency_s,error
lambda,warm,0,0.3966,
lambda,warm,1,0.4417,
lambda,warm,2,0.4233,
lambda,warm,3,0.5161,
lambda,warm,4,0.5546,
lambda,warm,5,0.6582,
lambda,warm,6,0.5735,
lambda,warm,7,0.7722,
lambda,cold,0,1.1963,
lambda,cold,1,1.3281,
lambda,cold,2,1.2547,
lambda,cold,3,1.223,
lambda,cold,4,1.4142,
lambda,cold,5,1.1217,
lambda,cold,6,1.1796,
lambda,cold,7,1.2649,
