system,target_length,actual_message_count,rep,latency_s
ec2,10,12,0,0.3434
ec2,10,14,1,0.3654
ec2,10,16,2,0.3584
ec2,10,18,3,0.3939
ec2,10,20,4,0.4895
ec2,50,52,0,0.5526
ec2,50,54,1,0.5103
ec2,50,56,2,0.6529
ec2,50,58,3,0.5689
ec2,50,60,4,0.455
ec2,100,102,0,0.5122
ec2,100,104,1,0.6884
ec2,100,106,2,0.6405
ec2,100,108,3,0.6761
ec2,100,110,4,0.7386
ec2,150,103,0,3.5692
ec2,150,105,1,1.619
ec2,150,107,2,1.2181
ec2,150,109,3,1.1855
ec2,150,111,4,1.3114
